,Unnamed: 0,사이트,검색 키워드,기업이름,포지션이름,포지션이름 전처리,마감일,상시 채용 여부,경력_min,경력_max,학력,학력 세부정보,제출서류,채용절차,채용형태_전처리,근무시간,근무장소 시,근무장소 구,근무형태,Hard Skill,Soft Skill,Tool,hard plus,soft plus,tool plus,산업군 전처리,설립,사원 수,기업 평균 연봉,기업 유형 전처리,기업 유형 전처리 _세부,매출액,Unnamed: 32,접수방법,총점,복지 및 급여,업무와 삶의 균형,사내문화,승진 기회,경영진,기업추천율,CEO 지지율,성장 가능성,하이라이트+태그,퇴사,입사,링크,sql,Python,r,R,tableau,powerbi,aws,kubernetes,kaflka,keras,nlp,pytorch,redash,streamlit,lookerstudio,devops,hadoop,bigquery,spark,hive,firebase,snowflake,databricks,airflow,GA
0,0,원티드,데이터분석가,제네시스랩,datascientist,데이터사이언티스트,상시채용,1,3,15,999,nan,자유이력서(형식무관),•서류전형▷ai영상면접(뷰인터hr)▷과제(필요시)▷인터뷰▷평판조회/처우협의▷입사,정규직,999,서울,중,999,"통계분석,데이터마이닝,머신러닝,딥러닝,영상데이터,음성데이터,텍스트데이터,데이터보안,데이터전처리",분석적사고,python,"딥러닝,딥러닝추론결과분석경험,모델성능향상,ai,데이터수집,데이터수집설계,코드품질개선",ai관심,999,제조,2017,70,"5,663",스타트업,999,20억원,nan,999,3.6,3.3,4.1,3.6,3.2,3.5,72,73,62,"연봉업계평균이상,지속성장중인기업,일한만큼받는보상,건강검진

도서구매비

교육비

재택근무

상여금

인공지능

연봉상위11~20%

인원급성장

51~300명

설립4~9년

퇴사율6~10%

전문,과학기술",22,26,https://www.wanted.co.kr/wd/106376,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,원티드,데이터분석가,에어프레미아랩스,dataanalyst,데이터분석가,2024.4.14,0,5,6,999,nan,999,999,정규직,999,서울,영등포,999,"데이터전처리,데이터분석업무경험","경력5년,데이터에기반한커뮤니케이션,논리적사고,질문","sql,python","a/b테스트,bitool,데이터시각화,대시보드구축,데이터마트,데이터마트설계,airflow,딥러닝,데이터파이프라인구축,데이터품질향상","새로운도메인,학구심,도메인지식,비즈니스임팩트,인사이트도출,액션도출,조직적/기술적개선",999,항공,2017,343,"5,852",중소기업,999,999,nan,999,999.0,999.0,999.0,999.0,999.0,999.0,999,999,999,"수평적인기업문화
,스타트업

it,컨텐츠",1,25,999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,"원티드,잡코리아",데이터분석가,매드업,[광고사업부]데이터분석가,데이터분석가,2024.5.1,0,3,7,대졸(4년),nan,"이력서,포트폴리오",서류전형＞1차인터뷰＞2차인터뷰＞처우협의및채용확정,정규직,"주5일(월~금)09:00~18:00
탄력근무제",서울,서초,999,"머신러닝,딥러닝,프레임워크,협업개발툴,데이터분석기법,가설검정,회귀,인과관계,상관관계분석,생성형ai,프롬프트엔지니어링","협업,분석및문제해결능력,새로운기술,창의적사고,커뮤니케이션,통찰력,경력3년","tensorflow,kersas,pytorch,chatgpt,stablediffusion,midjourney,gemini,git","mobilemeasurementplatforms,데이터베이스,데이터시각화,ai개발,crm데이터베이스","컴퓨터과학학위,ai학위,개발프로젝트","googleanalytics,adobeanalytics,sql,tableau,powerbi,lookerstudio",마케팅,2015,264,"4,562",벤처기업,비상장,337억,nan,홈페이지지원,3.3,3.4,2.2,3.4,3.6,3.0,55,64,50,"연봉업계평균이상,지속성장중인기업,수평적인기업문화,커피

음료

간식

건강검진

스터디지원

재택근무

스타트업

복지포인트

연봉업계평균이상

51~300명

설립4~9년

퇴사율5%이하

누적투자100억이상

it,컨텐츠",131,113,https://www.wanted.co.kr/wd/213293,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,원티드,데이터분석가,이글루코퍼레이션,데이터분석엔진개발,데이터분석엔진개발,2024.4.30,0,6,10,대졸(4년),nan,999,999,정규직,999,서울,송파,999,"데이터웨어하우스설계,인프라구축,데이터엔지니어링경험",경력6년,java,999,999,"kubernetes,kafka,in-memory,rdb,nosql,etl,cep",정보보안,1999,"1,064","4,750",중견기업,999,1030억,nan,999,2.7,2.2,2.8,2.5,2.7,2.1,28,28,8,",단체보험

유연근무

동호회

통신비

연봉업계평균이상

인원급성장

1,001~10,000명

설립10년이상

퇴사율6~10%

it,컨텐츠",250,312,https://www.wanted.co.kr/wd/205486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,"원티드,사람인",데이터분석가,빗썸코리아,데이터분석개발자,데이터분석개발자,상시채용,1,4,12,대졸(4년),nan,이력서,•서류전형＞1차기술인터뷰＞2차임원인터뷰＞최종합격,정규직,주5일(월~금),서울,강남,999,"대형플랫폼데이터,데이터구조,대용량트래픽시스템,데이터설계,구축,서비스관리","개발조직협업,금융산업경력",없음,"데이터파이프라인구축,웹크롤링,restfulapi","관련전공,고객중심사고,데이터기반의사결정,협업능력,커뮤니케이션",999,금융,2014,395,"9,928",중소기업,999,1조원,nan,점핏에서지원,3.2,4.0,2.8,2.7,3.2,2.5,51,43,40,"연봉업계평균이상,지속성장중인기업,퇴사율10%이하,어린이집

음료

샐러드

간식

건강검진

동호회

복지포인트

연봉상위1%

인원급성장

301~1,000명

설립10년이상

퇴사율6~10%

it,컨텐츠",85,105,https://www.wanted.co.kr/wd/214874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,"원티드,사람인",데이터분석가,스펙터,데이터분석가(사이언티스트),"데이터분석가,데이터사이언티스트",2024.4.30,0,2,15,"대졸(2,3년)",nan,이력서,서류전형＞스펙터평판요청＞1차직무인터뷰＞2차컬쳐핏인터뷰＞처우및입사일협의＞입사완료,정규직,주5일(월~금)10:00~19:00,서울,강남,999,"데이터사이언스,컴퓨터공학,통계학,수학,데이터베이스,머신러닝,딥러닝,생성형ai,데이터시각화","문제해결능력,비즈니스에대한깊은이해","python,r,sql,tableau,powerbi","aws,클라우드환경,데이터처리,데이터분석,자동화,데이터파이프라인구축,통계모델링,머신러닝,딥러닝,hr테크","실험설계,인과추론,인사이트도출,학구심,적용능력,관련전공","aws,airflow,luigi",채용,2020,25,"5,546",중소기업,999,999,nan,홈페이지지원,3.1,3.3,2.2,2.8,3.2,2.7,52,48,52,"연봉업계평균이상,지속성장중인기업,수평적인기업문화,간식

교육비

택시비

스타트업

노트북

리프레시휴가

연봉상위11~20%

인원급성장

50명이하

설립4~9년

it,컨텐츠",12,22,https://www.wanted.co.kr/wd/215042,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,"원티드,잡코리아",데이터분석가,"브레이브모바일(숨고,soomgo)",productdataanalyst,데이터분석가,2024.05.05,1,4,10,학력무관,nan,"•제출서류:경력중심의이력서(필수),자기소개서,포트폴리오(선택)",•채용과정:서류전형＞과제전형＞1차인터뷰＞2차인터뷰＞처우협의＞최종합격,정규직,주5일(월~금)09:00~18:00,서울,강남,999,"인하우스데이터분석,sql,bi툴,a/b테스트,로그데이터분석","agile조직경험,제품분석경험,팀원들과의커뮤니케이션능력","sql,tableau,redash","데이터분석,behaviordata,사용자행동로그","분석방법론,스타트업근무경험,가이드라인제시,이론적지식,관련전공","python,r,amplitude",응용소프트웨어개발,2014,124,"5,005",중소기업,비상장,151.8억원,nan,즉시지원,3.6,3.3,3.7,3.7,3.3,2.9,60,60,45,"연봉업계평균이상,지속성장중인기업,퇴사율10%이하
,커피

음료

간식

건강검진

교육비

노트북

연봉업계평균이상

51~300명

설립10년이상

퇴사율5%이하

누적투자100억이상

it,컨텐츠",52,57,https://www.wanted.co.kr/wd/200350,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,7,원티드/링크드인,데이터분석가,에니아이(aniai),datascientist,데이터사이언티스트,상시채용,1,3,15,999,nan,"새로운유형의데이터에대해데이터분석한경험이있다면알려주세요.pre-processing을한과정및모델선정과정,모델성능평가)
transient데이터에대해분석해본경험이있다면알려주세요.특히digitalsignalprocessing경험에대해자세히알려주세요.","이력서,포트폴리오
새로운유형의데이터에대해데이터분석한경험이있다면알려주세요.
pre-processing을한과정및모델선정과정,모델성능평가)
transient데이터에대해분석해본경험이있다면알려주세요.
특히digitalsignalprocessing경험에대해자세히알려주세요.",정규직,풀타임,서울,성동,999,"데이터분석,데이터전처리,딥러닝,딥러닝모델설계,통계분석,데이터분석툴","경력3년,기술적프레젠테이션,의사소통","python,matlab","데이터분석,통계분석,연구,데이터베이스,머신러닝,딥러닝,디지털신호처리,주파수,디지털필터,데이터시각화","이론적지식,관련전공,박사","svm,lda,tableau",응용소프트웨어개발,2020,31,"4,550",중소기업,999,999,nan,링크드인지원,999.0,999.0,999.0,999.0,999.0,999.0,999,999,999,"요즘뜨는산업,인공지능

iot

전문,과학기술",10,24,https://www.wanted.co.kr/wd/191674/https://www.linkedin.com/jobs/search/?currentjobid=3893827474&geoid=105149562&keywords=data%20scientist&location=%eb%8c%80%ed%95%9c%eb%af%bc%ea%b5%ad&origin=job_search_page_search_button&refresh=true,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,원티드,데이터분석가,아우름플래닛(liner),프로덕트데이터분석가,데이터분석가,2024.6.30,0,3,10,999,nan,999,999,정규직,999,서울,마포,999,"데이터전처리,데이터분석,모델링,통계학,실험인사이트","경력3년,협업,데이터스토리텔링","sql,python,r","데이터마트,데이터마트구축,데이터파이프라인구축,데이터분석,머신러닝,딥러닝,모델링,개인화ai","ai에이전트관심,호기심,건강한프로덕트가치관,데이터조직확장,분석강점,노하우",999,응용소프트웨어개발,2013,33,"5,146",스타트업,999,"3억5,198만원",nan,999,999.0,999.0,999.0,999.0,999.0,999.0,999,999,999,"연봉업계평균이상,지속성장중인기업,수평적인기업문화,간식

스타트업

인공지능

연봉상위11~20%

인원급성장

50명이하

설립10년이상

it,컨텐츠",9,16,https://www.wanted.co.kr/wd/85810,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,"원티드,잡코리아",데이터분석가,넥슨코리아,데이터분석가(fps게임이상탐지),데이터분석가,상시채용,1,1,20,학력무관,nan,이력서,서류전형-과제전형-면접전형-최종합격,정규직,주5일제,경기,성남,999,"이상탐지,ml,ai,통계,수학,컴퓨터과학분야학위,데이터사이언스","팀워크,커리어개발관심",없음,"시계열데이터,다변량시계열데이터분류,분류모델,이상탐지,ml/dl알고리즘이해,알고리즘최적화","이상탐지프로젝트참여경험,알고리즘최적화,문제해결능력",999,응용소프트웨어개발,1994,"3,756","6,082",대기업,비상장,3조9000억,nan,홈페이지지원,3.8,3.7,3.6,3.8,3.3,2.9,76,59,38,"연봉업계평균이상,지속성장중인기업,퇴사율10%이하,보육시설\

어학교육

사내식당

동호회

인공지능

연봉상위6~10%

인원급성장

1,001~10,000명

설립10년이상

퇴사율5%이하

셔틀버스

it,컨텐츠",476,641,https://www.wanted.co.kr/wd/215111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
