,Unnamed: 0,DA,통계,ML,DL,데이터 가공,파이프라인,클라우드,그로스해킹,로그,마케팅,빅데이터,도메인,프로그래밍언어,시각화
0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2,2,1,1,1,1,0,0,0,0,0,0,0,0,1,0
3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0
5,5,0,1,1,1,0,1,0,0,0,0,0,0,0,1
6,6,1,0,0,0,0,0,0,1,1,0,0,1,1,1
7,7,1,1,0,1,1,0,0,0,0,0,0,0,1,0
8,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0
9,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0
10,10,1,0,0,0,1,0,0,0,0,0,0,0,0,1
11,11,1,0,0,1,0,0,0,1,0,1,0,1,1,0
12,12,1,0,0,0,0,0,0,1,1,0,1,0,0,0
13,13,1,1,1,1,0,0,0,0,0,0,0,0,0,0
14,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0
15,15,1,0,0,0,1,0,0,0,0,0,0,0,0,1
16,16,0,1,0,1,0,0,0,0,0,0,0,1,0,0
17,17,1,0,0,0,1,0,1,1,0,0,0,0,0,1
18,18,0,0,1,1,0,0,0,0,0,0,0,0,0,0
19,19,1,1,0,0,1,0,0,0,1,0,0,0,0,0
20,20,0,0,1,0,0,0,1,0,1,0,0,0,1,0
21,21,1,1,0,1,0,0,0,1,0,1,1,0,0,1
22,22,1,0,0,0,0,0,0,1,0,1,0,0,0,1
23,23,1,0,0,0,1,0,0,0,0,0,0,0,0,0
24,24,1,0,0,0,1,0,0,0,0,0,0,0,0,0
25,25,1,0,0,0,0,0,0,1,0,1,0,0,0,0
26,26,0,0,1,1,1,0,0,0,0,0,0,0,0,0
27,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,1,1,1,1,0,1,0,0,0,0,1,0,1,0
29,29,1,1,1,1,1,0,0,0,0,0,0,0,0,0
30,30,1,0,0,0,0,0,0,1,0,1,0,0,0,0
31,31,0,1,1,0,0,0,0,1,0,1,0,0,0,0
32,32,1,0,0,0,1,0,0,1,0,1,0,0,0,1
33,33,1,0,1,0,1,0,0,0,0,0,0,0,0,0
34,34,0,0,1,1,0,0,0,0,0,0,0,0,0,0
35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,1,1,0,1,0,0,0,1,0,1,1,0,0,1
38,38,1,0,0,0,0,0,0,0,0,0,0,1,0,0
39,39,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40,40,1,0,0,0,0,0,0,1,1,1,1,0,0,0
41,41,1,0,1,1,0,0,0,0,0,0,0,0,0,0
42,42,1,0,0,0,0,0,0,1,0,1,0,0,0,0
43,43,1,0,1,0,0,1,0,1,0,1,0,0,0,0
44,44,1,0,0,0,1,0,0,1,1,0,0,0,0,0
45,45,1,1,1,0,1,0,0,0,0,0,0,0,0,0
46,46,1,0,0,0,0,0,0,0,0,0,1,1,0,0
47,47,1,0,0,0,1,0,0,0,1,1,0,0,0,0
48,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49,49,1,0,0,0,1,0,0,0,1,0,0,1,0,1
50,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,1,0,1,1,0,0,0,0,1,0,0,0,1,0
52,52,1,1,1,0,1,0,0,0,0,0,1,0,0,1
53,53,1,0,0,0,0,0,0,1,1,1,1,1,0,0
54,54,1,0,0,0,1,0,0,0,1,1,0,1,1,1
55,55,0,1,1,0,0,0,0,0,0,0,0,1,0,0
56,56,1,1,1,0,0,0,0,0,0,0,0,1,0,0
57,57,1,1,1,1,1,1,0,0,0,0,0,0,0,0
58,58,1,0,0,0,1,0,0,0,1,1,0,0,0,1
59,59,1,1,0,0,0,0,0,0,0,0,0,1,0,0
60,60,1,1,0,0,0,0,0,0,0,0,0,0,0,0
61,61,1,0,0,0,1,0,0,0,1,1,1,0,0,1
62,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0
63,63,0,0,1,1,0,0,0,0,0,0,0,0,0,0
64,64,1,0,0,0,0,1,0,0,1,0,0,0,0,1
65,65,0,1,1,1,1,0,0,0,1,1,0,0,0,0
66,66,1,1,1,0,1,1,1,0,0,0,0,0,1,0
67,67,1,0,0,0,1,0,0,0,0,0,0,1,0,1
68,68,0,0,0,0,1,0,1,0,1,0,1,0,1,0
69,69,1,1,1,1,0,0,0,1,0,1,1,0,0,1
70,70,1,0,0,0,1,0,0,0,0,0,0,0,0,0
71,71,1,1,0,0,1,0,0,1,1,1,0,0,0,1
72,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0
73,73,1,1,0,0,0,1,0,1,0,0,0,0,0,0
74,74,1,1,0,0,1,0,0,0,0,1,0,1,0,1
75,75,0,0,0,0,0,0,0,0,0,0,0,0,1,0
76,76,1,0,0,0,1,0,0,0,0,0,0,0,0,0
77,77,1,0,0,0,1,0,0,1,1,1,0,0,0,1
78,78,1,0,0,0,1,0,0,1,1,1,0,0,0,0
79,79,1,1,0,0,0,0,0,0,0,0,1,0,0,0
80,80,1,0,0,0,1,0,0,0,1,1,0,0,0,1
81,81,1,0,0,0,0,0,0,0,0,0,0,0,1,1
82,82,1,1,0,0,0,0,0,0,1,0,0,0,1,1
83,83,1,1,1,1,0,0,0,1,1,1,0,0,0,0
84,84,1,0,1,0,0,0,0,1,0,1,0,0,0,0
85,85,1,0,1,1,0,0,0,1,0,1,0,0,0,0
86,86,1,1,1,1,0,0,0,0,0,1,0,0,0,1
87,87,1,1,1,0,0,0,0,0,0,0,0,0,0,1
88,88,1,0,0,0,1,0,0,1,0,0,0,0,0,1
89,89,1,0,1,1,0,0,1,0,0,0,1,0,0,0
90,90,0,0,0,0,1,0,0,1,0,0,0,0,0,1
91,91,1,0,0,0,0,0,0,0,0,0,0,0,1,0
92,92,1,0,1,1,1,0,0,0,1,0,0,0,1,0
93,93,1,0,0,0,0,0,0,0,1,1,0,1,1,1
94,94,1,0,1,1,0,1,1,1,0,1,0,0,1,1
95,95,1,0,0,0,1,0,1,0,1,0,1,0,1,0
96,96,1,0,1,1,0,1,0,1,0,1,0,0,1,1
97,97,1,0,0,1,0,0,0,1,0,1,0,0,1,0
98,98,1,1,0,0,0,0,0,0,0,0,0,1,0,0
99,99,1,1,0,0,0,0,0,0,0,0,0,1,0,0
100,100,1,0,0,0,1,0,0,1,1,1,0,0,0,0
101,101,1,1,1,0,1,0,0,0,0,0,1,0,0,0
102,102,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,103,1,1,0,0,1,0,0,0,0,0,0,0,0,1
104,104,1,1,0,0,0,0,0,1,0,1,0,1,1,0
105,105,0,0,0,0,0,1,1,0,1,1,1,0,0,0
106,106,1,1,1,1,0,1,0,1,1,1,0,0,0,1
107,107,0,0,0,0,0,0,0,0,1,1,0,0,0,0
108,108,1,0,0,0,0,0,0,1,0,1,0,0,0,1
109,109,1,1,0,0,1,0,1,1,0,1,0,0,0,0
110,110,1,1,1,0,1,1,0,1,0,1,0,0,0,1
111,111,1,0,0,0,1,0,0,0,1,1,0,0,0,1
112,112,1,0,0,0,1,0,0,0,0,1,0,0,0,0
113,113,1,0,0,0,0,0,0,0,0,1,0,0,0,0
114,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,115,0,0,0,0,1,0,1,0,0,0,0,0,0,0
116,116,0,0,0,0,1,0,0,1,0,1,0,0,0,0
117,117,1,0,0,0,1,0,0,1,0,1,0,0,0,1
118,118,1,0,0,0,0,0,1,0,0,1,0,1,0,0
119,119,0,0,0,1,1,1,0,0,0,1,0,0,0,0
120,120,1,0,0,0,1,0,0,0,0,0,0,0,0,1
121,121,1,0,0,0,1,0,0,1,0,1,0,1,1,0
122,122,0,0,0,0,1,0,0,0,1,0,0,0,0,0
123,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0
124,124,0,0,1,1,0,0,0,0,0,0,0,0,0,0
125,125,1,1,0,0,1,0,0,1,0,1,0,0,0,1
126,126,1,0,0,0,0,1,0,0,0,0,0,1,0,0
127,127,1,1,0,0,1,0,0,0,0,0,0,0,0,0
128,128,1,0,1,0,0,0,0,0,0,1,1,1,0,1
129,129,1,1,0,0,0,0,0,0,0,0,1,0,0,0
130,130,1,0,0,0,1,0,0,1,1,1,0,1,0,0
131,131,1,1,0,0,0,0,0,1,0,1,0,0,1,0
132,132,1,0,0,0,0,1,0,0,0,0,0,0,0,1
133,133,1,1,0,0,0,0,1,1,1,1,1,0,0,0
134,134,1,1,1,0,1,0,0,0,1,0,0,0,1,0
135,135,1,0,0,0,1,0,1,0,0,0,0,1,0,1
136,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0
137,137,1,0,0,0,0,0,0,0,0,0,0,0,0,0
138,138,1,1,1,1,1,0,0,0,0,0,0,1,0,0
139,139,0,0,1,1,0,0,0,0,0,0,0,0,0,0
140,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,141,1,1,0,0,1,1,0,1,0,1,0,0,0,0
142,142,1,1,1,1,1,1,0,0,0,0,1,0,0,0
143,143,1,0,0,0,1,0,0,0,0,0,0,0,0,1
144,144,1,0,0,0,0,0,0,1,1,1,0,0,0,1
145,145,1,0,0,0,0,0,0,0,1,0,0,1,1,0
146,146,1,0,0,0,0,0,0,0,0,0,0,0,0,0
147,147,0,0,0,0,0,0,0,0,1,0,0,0,1,0
148,148,1,0,0,0,0,0,0,0,0,1,1,0,0,0
149,149,1,0,0,0,0,1,0,0,0,0,0,0,0,1
150,150,1,1,0,0,1,0,0,0,1,0,0,0,1,0
151,151,1,1,0,0,0,0,0,0,0,0,0,0,0,0
152,152,1,0,0,0,0,0,0,0,0,0,0,0,0,1
153,153,1,1,1,1,1,1,0,0,0,0,0,0,0,0
154,154,1,0,0,0,0,0,0,1,0,1,0,0,1,0
155,155,1,1,1,0,0,0,0,1,1,1,0,1,1,1
156,156,1,0,1,1,1,0,0,0,0,0,0,0,0,1
157,157,1,0,1,1,0,0,0,1,0,1,0,0,0,0
158,158,1,0,0,0,0,0,0,0,1,0,0,0,0,0
159,159,1,1,1,1,1,1,0,0,0,0,1,0,0,0
160,160,1,0,0,0,1,0,0,0,1,0,0,0,1,1
161,161,1,0,0,0,0,0,0,0,0,0,0,0,0,0
162,162,1,0,0,0,0,0,0,0,0,0,0,0,0,0
163,163,1,0,0,0,0,0,0,0,0,0,0,0,0,0
164,164,1,0,0,0,0,0,0,0,0,0,0,0,0,1
165,165,1,1,0,0,0,0,0,1,1,1,0,0,0,0
166,166,1,0,1,1,1,1,0,0,0,0,1,0,0,0
